"id","client","product_family","product","document_alias_name","prompt_name","prompt_text","created_on","prompt_role","template_name"
1,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R5","Task: Verify if the document provides the Intended Use information and assess whether it conveys the actual intended purpose of the product with clear and concise verbiage.

Definition: Intended Use (or Intended Purpose) describes what the device is designed to do, in what context, and under what conditions it should be used. It answers the question: “What is the medical device meant for?”

Instructions:
Locate any section explicitly titled “Intended Use” or “Intended Purpose.”
If such a section is not found, look for paragraphs or sentences that describe what the device is used for or in what context/condition it is used.

Apply the following rules:
If the document contains a valid Intended Use statement, return: <statement>
If the document does not contain relevant Intended Use information, return: No Trace
If the question is not relevant to the product code/family or explicitly marked as not applicable in the document, return: N/A

Response Format:
✅ Respond ONLY with one of the following values (per product code):
<statement>
No Trace
N/A
⛔ Do not include any other explanation, text, or formatting.","2025-09-03 05:58:25.109959","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
2,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R6","Task:
Look for the section or table that defines the Functions as the essential tasks or actions a device must perform to achieve its intended purpose.
Output format:  
- If found:  ""<extracted value>""  
- If not found:  ""No Trace"" 
- N/A
 
⛔ Do not include any other explanation, text, or formatting","2025-09-03 06:01:24.570562","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
3,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R7","Task:
Identify and extract the full Medical Purpose from the document.

Definition:
Medical Purpose describes the clinical reason the device exists, including:
What medical condition or procedure it supports
Its therapeutic, diagnostic, or preventive role
Explanation beyond functionality — why the device is used clinically

Instructions:
Search the entire document for all sentences or paragraphs that explicitly describe the medical purpose.
Include all relevant sentences, even if they appear in different sections such as:
Intended Use / Use Specification
Indications for use
User, Patient & Clinical Needs (if they describe clinical context)
Combine all relevant sentences in the order they appear in the document.

Apply the following rules:
If Medical Purpose information exists, return all relevant sentences together
If the document does not contain relevant information, return: No Trace
If the question is not relevant to the product code/family, return: N/A

Response Format:
Respond ONLY with the full extracted sentence(s) describing the Medical Purpose.
⛔ Do not include any other explanation, text, or formatting.","2025-09-03 06:02:44.137461","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
4,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R8","**Task:**
Locate the part of the document that specifies the **Intended Patient Population**, and extract the complete English text exactly as written.

**Please apply the following formatting rules:**

* Preserve the text exactly, including line breaks where present.
* If in a table, merge the relevant rows or cells into reading order.
* If split across lines or segments, merge into a single coherent block.
* Ignore non-English text.
* If no relevant content is found, return `""No Trace""`.
* Do not summarise, reword, or add interpretation.

⛔ Do not include any additional text or explanation and don't return 

✅ Respond ONLY with this exact JSON format:

""response"": ""<your extracted sentence>""
","2025-09-03 06:04:08.974317","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
5,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R9","Task:
Locate the part of the document that specifies the intended user / user population, and extract the complete English text exactly as written.

Please apply the following formatting rules:

Preserve the text exactly, including line breaks where present.

If in a table, merge the relevant rows or cells into reading order.

If split across lines or segments, merge into a single coherent block.

Ignore non-English text.

If no relevant content is found, return ""No Trace"".

Do not summarise, reword, or add interpretation.

⛔ Do not include any additional text or explanation and don't return ```json.
✅ Respond ONLY with this exact JSON format:

{
""response"": ""<your extracted sentence>""
}
","2025-09-03 06:05:50.126504","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
6,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R10","✅ Task:
Extract the Intended User from the document.

✅ Instructions:
Focus only on the section labeled ""Intended User"".
Extract only the most specific sentence that clearly identifies the primary intended user.
Ignore general context, patient demographics, or usage environments.
Do not include design highlights, specifications, or any other surrounding text.
If no relevant sentence is found, respond with: ""Intended User: No Trace""
Format your response as: ""Intended User: <extracted sentence>""

","2025-09-03 06:07:08.222096","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
7,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R11","Task: Extract the Product description from the document.

Instructions:

Focus only on the section labeled ""Product Description"".
Extract content that describes:
What the product is
Its intended use or purpose
Key features or components
Any design highlights or specifications
Do not include content from other sections.
If no relevant information is found, respond with: ""Product Description: No Trace""
Format your response as: ""Product Description: <extracted content>""","2025-09-03 06:07:57.762844","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
8,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R12","Task: Extract the contraindications information from the document.

Definition: Contraindications are medical conditions, patient types, or environments where the device should not be used because it may cause harm. They may also include known risks, incompatibilities, or pre-existing conditions.

Instructions:
Locate the English sentence or paragraph containing the phrase ""Contraindication"" or ""Contraindications"".
From that sentence or section, extract only the value or statement that directly follows or explains contraindications.
Ignore non-English text.
If no English sentence with ""Contraindication/Contraindications"" is found, return: No Trace

Response Format:
✅ Respond ONLY with the extracted value.
⛔ Do not include any other text, explanation, or formatting.","2025-09-03 06:09:01.500884","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
9,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60100322_DI","BAX_FLC_DHF_002_Design_Input_CP_R13","Task: Check if the document mentions that the device model has more than one intended use and identify any labelling or differentiation requirements (such as packaging specifications, color coding, configurations, or model numbers). Since this checkpoint is not applicable for devices with a single intended use, return N/A.

Definition:
This checkpoint evaluates whether multiple intended uses of a device are present and if any differentiation between them is documented. If there is only a single intended use, this checkpoint does not apply.

Instructions:
Locate any sections mentioning multiple intended uses or differentiation requirements.

Check for references to:
Packaging specifications
Color coding
Configurations or model numbers

Apply the following rules:
If multiple intended uses and differentiation are documented, return the extracted information.
If the device has only one intended use or the information is not relevant, return: N/A
If relevant information is missing or cannot be found, return: No Trace

Response Format:
✅ Respond ONLY with one of the following values:
<extracted information>
No Trace
N/A

⛔ Do not include any other explanation, text, or formatting.","2025-09-03 06:10:19.691091","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
10,"Baxter","3.5V Coaxial Ophthalmoscope","Ophthalmoscope","60057899_DI","BAX_FLC_DHF_002_Design_Input_CP_R14","From the given context, determine if 'Manufacture logo' information is available. If it is available, return No. If it is missing, return Yes. Respond only with a single word: Yes or No
","2025-09-03 06:11:53.646881","You are a helpful assistant that extracts specific information from the provided context.","BAX_FLC_DHF_002_Design_Input_AI_Steps_V1.0"
